text,language,true_label,stars,predicted_label,confidence,detected_language,expected_detected
"बेकार उत्पाद, एक हफ्ते में टूट गया।",hi,negative,1,negative,0.8203194737434387,hi,
"पैसे की पूरी बर्बादी, बिल्कुल काम नहीं करता।",hi,negative,1,negative,0.6526476144790649,hi,
"यह उत्पाद बिल्कुल बेकार है, कभी मत खरीदो।",hi,negative,1,negative,0.7405601739883423,hi,
"बहुत खराब क्वालिटी, निराश हूँ।",hi,negative,1,negative,0.8600351214408875,hi,
"ठीक-ठाक है, कुछ खास नहीं।",hi,neutral,3,neutral,0.34827721118927,hi,
कीमत के हिसाब से ठीक है।,hi,neutral,3,neutral,0.41549256443977356,hi,
"Excellent produit, je le recommande vivement!",fr,positive,5,positive,0.9762704968452454,en,fr
Qualite exceptionnelle et livraison rapide.,fr,positive,5,positive,0.785732090473175,fr,fr
Magnifique! Exactement ce que je cherchais.,fr,positive,5,positive,0.8080890774726868,fr,fr
"Absolument parfait, merci beaucoup!",fr,positive,5,positive,0.8518051505088806,fr,fr
"Produit terrible, casse apres deux jours.",fr,negative,1,negative,0.8934026956558228,en,fr
"Tres decu, ne fonctionne pas comme decrit.",fr,negative,1,negative,0.618389368057251,fr,fr
"Horrible qualite, je demande un remboursement.",fr,negative,1,negative,0.9387820363044739,en,fr
Ne perdez pas votre argent avec ce produit.,fr,negative,1,neutral,0.37157633900642395,fr,fr
"Correct sans plus, fait le travail minimum.",fr,neutral,3,positive,0.3867981731891632,fr,fr
"Moyen, rien d'exceptionnel.",fr,neutral,3,positive,0.4431189298629761,fr,fr
"Ausgezeichnetes Produkt, bin sehr zufrieden!",de,positive,5,positive,0.842186689376831,de,de
Hervorragende Qualitat und schnelle Lieferung.,de,positive,5,positive,0.7986109852790833,de,de
Fantastisch! Besser als erwartet.,de,positive,5,positive,0.8266006708145142,de,de
"Wunderschon, sehr empfehlenswert!",de,positive,5,positive,0.8231824040412903,de,de
"Schreckliche Qualitat, nach einem Tag kaputt.",de,negative,1,negative,0.8734973073005676,de,de
"Totale Geldverschwendung, funktioniert uberhaupt nicht.",de,negative,1,negative,0.8617281317710876,de,de
"Furchtbar, sofort zuruckgeschickt.",de,negative,1,negative,0.8468844294548035,de,de
"Sehr enttauschend, wurde niemals wieder kaufen.",de,negative,1,negative,0.658068835735321,de,de
"In Ordnung, nichts Besonderes.",de,neutral,3,neutral,0.4459587335586548,de,de
"Durchschnittlich, erfullt den Grundzweck.",de,neutral,3,neutral,0.622758686542511,de,de
"Excelente producto, lo recomiendo totalmente!",es,positive,5,positive,0.8086696267127991,es,es
Calidad increible y envio muy rapido.,es,positive,5,positive,0.770693838596344,es,es
Maravilloso! Supero mis expectativas.,es,positive,5,positive,0.856829822063446,es,es
Perfecto! Exactamente lo que necesitaba.,es,positive,5,positive,0.6849783658981323,es,es
"Pesima calidad, se rompio en dos dias.",es,negative,1,negative,0.849774956703186,es,es
"Una completa estafa, no funciona para nada.",es,negative,1,negative,0.8592008948326111,es,es
"Horrible, quiero mi dinero de vuelta.",es,negative,1,negative,0.9299144148826599,en,es
"Muy decepcionante, no lo recomiendo.",es,negative,1,negative,0.8512329459190369,es,es
"Esta bien, nada del otro mundo.",es,neutral,3,positive,0.4881967008113861,es,es
"Normal, cumple su funcion.",es,neutral,3,neutral,0.4516720175743103,es,es
منتج ممتاز، أنصح به بشدة!,ar,positive,5,positive,0.8360015153884888,ar,ar
جودة رائعة وتوصيل سريع.,ar,positive,5,positive,0.6867918372154236,ar,ar
رائع! أفضل من المتوقع.,ar,positive,5,positive,0.8039722442626953,ar,ar
ممتاز! بالضبط ما كنت أبحث عنه.,ar,positive,5,positive,0.6752728819847107,ar,ar
جودة سيئة جداً، انكسر بعد يوم واحد.,ar,negative,1,negative,0.8305780291557312,ar,ar
مضيعة للمال، لا يعمل على الإطلاق.,ar,negative,1,negative,0.8030582070350647,ar,ar
فظيع، أريد استرداد أموالي.,ar,negative,1,negative,0.7217122316360474,ar,ar
لا تشتري هذا المنتج أبداً.,ar,negative,1,neutral,0.4805298149585724,ar,ar
مقبول، لا شيء مميز.,ar,neutral,3,negative,0.7079002857208252,ar,ar
عادي، يؤدي الغرض الأساسي.,ar,neutral,3,neutral,0.49051183462142944,ar,ar
素晴らしい製品、大満足です！,ja,positive,5,positive,0.8113032579421997,ja,ja
品質が非常に高く、迅速な配送でした。,ja,positive,5,positive,0.7044293880462646,ja,ja
最高！期待以上でした。,ja,positive,5,positive,0.8158608675003052,ja,ja
完璧！まさに探していたもの。,ja,positive,5,positive,0.7332019805908203,ja,ja
ひどい品質、一日で壊れました。,ja,negative,1,negative,0.8593418598175049,ja,ja
お金の無駄、全く機能しません。,ja,negative,1,negative,0.7190425395965576,ja,ja
最悪、すぐに返品しました。,ja,negative,1,negative,0.6767925024032593,ja,ja
非常に失望しました、二度と買いません。,ja,negative,1,negative,0.8487586975097656,ja,ja
まあまあ、特に印象なし。,ja,neutral,3,neutral,0.48177874088287354,ja,ja
普通、基本的な用途には十分。,ja,neutral,3,neutral,0.5537998080253601,ja,ja
"Produto excelente, recomendo muito!",pt,positive,5,positive,0.8110077977180481,pt,pt
Qualidade incrivel e entrega rapida.,pt,positive,5,positive,0.7681290507316589,pt,pt
Maravilhoso! Superou minhas expectativas.,pt,positive,5,positive,0.8533967733383179,pt,pt
Perfeito! Exatamente o que eu precisava.,pt,positive,5,positive,0.662964940071106,pt,pt
"Pessima qualidade, quebrou em dois dias.",pt,negative,1,negative,0.842008650302887,pt,pt
"Desperdicio total de dinheiro, nao funciona.",pt,negative,1,negative,0.8099138140678406,pt,pt
"Horrivel, quero meu dinheiro de volta.",pt,negative,1,negative,0.8309404253959656,pt,pt
"Muito decepcionante, nao recomendo.",pt,negative,1,negative,0.8574225306510925,pt,pt
"Aceitavel, nada de especial.",pt,neutral,3,negative,0.438345342874527,es,pt
"Normal, cumpre a funcao.",pt,neutral,3,neutral,0.5333502292633057,ro,pt
